,angle,county,distance,quadrant,radius,store,tract
1182,48.62188717407446,113,8.686960868323718,1,10,6,019021
1183,44.732916335865525,113,9.949555290886666,1,10,6,019027
1184,32.121515548145,113,4.720016563061114,1,5,6,019035
1185,18.19579441312078,113,5.634686953798679,1,10,6,019040
1186,21.025517450280233,113,6.947581787457246,1,10,6,019100
1187,3.1715181755686785,113,6.681603348720262,1,10,6,019204
1188,2.669636617530273,113,8.252793493419714,1,10,6,019205
1189,15.10056425986005,113,9.039125412277405,1,10,6,019210
1190,5.574034702760287,113,5.540763819581474,1,10,6,019212
1191,8.409569600424959,113,5.703717312260785,1,10,6,019213
1192,223.138203462944,113,0.9636315954115888,3,1,6,019302
1193,251.9779782259816,113,2.2707352666141327,3,3,6,019502
1194,321.40982153872187,113,9.51697249810482,4,10,6,020700
1195,358.72084077179835,085,9.27505797474215,4,10,6,031720
1196,234.70674775080232,113,4.20793919342747,3,5,6,000404
1197,254.7508781791854,113,4.999656712310498,3,5,6,000406
1198,223.95059428291148,113,3.4352326546755436,3,5,6,000603
1199,164.95774876880603,113,2.633061641611305,2,3,6,001102
1200,180.04120247671014,113,4.2284400273007146,3,5,6,001502
1201,202.8874890631689,113,4.144029297035805,3,5,6,001703
1202,163.78492777588508,113,4.996290822513885,2,5,6,002500
1203,169.62252496012945,113,5.9428388286913165,2,10,6,002702
1204,216.3035151599837,113,9.480547681856008,3,10,6,004500
1205,205.3487087457297,113,8.292934976904295,3,10,6,004700
1206,203.86262645508518,113,8.789794469265304,3,10,6,005000
1207,272.99156493308493,113,6.095298642618381,4,10,6,007201
1208,273.50975863755144,113,3.8131423796399093,4,5,6,007302
1209,11.44587735506883,113,3.325720166858512,1,5,6,007805
1210,22.458040080395847,113,1.8796173815203299,1,3,6,007815
1211,36.665099946018586,113,3.3581271933209296,1,5,6,007825
1212,46.483518971856256,113,3.0748452757292326,1,5,6,007827
1213,315.6229200661514,113,0.5427535523050978,4,1,6,007906
1214,181.29362179892794,113,0.8731966261590138,3,1,6,007914
1215,124.49614453128027,113,2.393156282881673,2,3,6,008000
1216,104.78666333631463,113,4.325857632282843,2,5,6,008200
1217,179.6651757306713,113,8.872298845992256,2,10,6,008603
1218,189.43228369991556,113,7.80922057737013,3,10,6,008900
1219,139.7649533860215,113,8.46149800598388,2,10,6,009000
1220,147.38877911767418,113,8.05857090501988,2,10,6,009101
1221,144.28627999369053,113,9.62623009466747,2,10,6,009201
1222,162.3067513304362,113,9.542593836821235,2,10,6,009303
1223,300.9873077785789,113,6.424199711791285,4,10,6,009607
1224,290.1111334231938,113,6.673857286947908,4,10,6,009701
1225,282.5882668012988,113,8.106745689900405,4,10,6,009900
1226,238.32883829903218,113,8.820675219945022,3,10,6,010601
1227,123.83763685180787,113,5.422173004779652,2,10,6,012210
1228,106.20286387168835,113,6.190628328862,2,10,6,012500
1229,95.09289202300403,113,3.3067038708068544,2,5,6,012900
1230,79.34296406410556,113,5.252552059723833,1,10,6,013010
1231,350.3001987315123,113,3.3587961992560897,4,5,6,013101
1232,355.9336301325604,113,7.029153276606783,4,10,6,013607
1233,354.76114420177225,113,5.377681179130876,4,10,6,013610
1234,357.19719791102636,113,8.833736975332998,4,10,6,013618
1235,339.5259606928773,113,6.459769989440449,4,10,6,013623
1236,313.84876602664036,113,8.76584023155957,4,10,6,013712
1237,330.7800717797561,113,9.922216260866263,4,10,6,013722
1238,325.0380601616085,113,6.841656234777729,4,10,6,013806
1239,270.75721271821476,113,9.920488006705499,4,10,6,014205
1240,260.89652456102124,113,9.218067615590103,3,10,6,014701
1241,257.25197763925746,113,9.33349902773262,3,10,6,014702
1242,120.06795163667016,113,7.3745415730536,2,10,6,017806
1243,116.4015900161694,113,8.547450368652083,2,10,6,017804
1244,124.33377868015651,113,8.424646844943673,2,10,6,017805
1245,104.50151320712251,113,9.736820311817974,2,10,6,017811
1246,101.42680180798601,113,7.373251818023045,2,10,6,018001
1247,98.73352249313052,113,8.42030355044415,2,10,6,018130
1248,75.15131151640855,113,9.213338255693667,1,10,6,018205
1249,80.19753641295563,113,6.639085375633909,1,10,6,018401
1250,86.32284274208666,113,6.884611899111038,1,10,6,018403
1251,63.443556726992426,113,7.263412091188835,1,10,6,018600
1252,66.603489382281,113,8.174084388543193,1,10,6,018700
1253,61.672076844198216,113,8.469109397468587,1,10,6,018802
1254,19.293407174311994,113,4.734951045688534,1,5,6,019016
1255,39.822836749992234,113,5.341216135471758,1,10,6,019019
1256,52.6616914356797,113,9.476464430289287,1,10,6,019026
1257,33.53675499646488,113,9.868051921885261,1,10,6,019031
1258,266.26266730794765,113,8.985166722963411,3,10,6,014204
1259,275.44306728412386,113,9.66791352231058,4,10,6,014206
1260,27.80651146278484,113,9.600705354521715,1,10,6,019036
1261,29.429225749669172,113,7.2835399078625045,1,10,6,019039
1262,213.66163650990657,113,1.9398485410976352,3,3,6,019600
1263,254.6824498815418,113,8.347979370288526,3,10,6,020100
1264,192.28734746595498,113,5.863430500101312,3,10,6,020400
1265,292.15865698042273,113,3.286117303074995,4,5,6,020600
1266,262.24103408747004,113,4.702670391528612,3,5,6,980100
1267,207.95842401281632,113,4.265696735913576,3,5,6,001800
1268,202.5905200750298,113,7.1511150867224185,3,10,6,002000
1269,162.61333372573893,113,5.902842072757856,2,10,6,002701
1270,198.65704014127115,113,5.4634078320922725,3,10,6,003101
1271,173.32566579056288,113,7.401632030144924,2,10,6,003902
1272,207.788079903964,113,7.504198581736572,3,10,6,004201
1273,215.666031500984,113,6.991291941865426,3,10,6,004300
1274,200.12247878296952,113,8.175019809173499,3,10,6,004800
1275,212.41906798290285,113,9.875380019795129,3,10,6,005300
1276,221.47523048822507,113,8.52994471549461,3,10,6,006900
1277,256.8868150118053,113,3.536777107614059,3,5,6,007102
1278,277.4338097766253,113,2.659499407919019,4,3,6,007301
1279,303.00699883905804,113,4.174872251813001,4,5,6,007601
1280,9.523038532018973,113,4.264074978858332,1,5,6,007804
1281,78.07372657569204,113,1.7260199458325038,1,3,6,007809
1282,25.840275872499433,113,3.9836950553379995,1,5,6,007810
1283,28.732564482610258,113,2.7306623869443993,1,3,6,007812
1284,6.473184948185747,085,9.679067235243973,1,10,6,031804
1285,43.695352820427786,113,1.7200629441941038,1,3,6,007821
1286,48.43791652780891,113,2.4108481935720114,1,3,6,007824
1287,60.75235615503465,113,2.324444340972983,1,3,6,007826
1288,113.61841044038908,113,0.81163442009808,2,1,6,007903
1289,11.975130389807589,113,0.4808839753095645,1,1,6,007912
1290,153.05024306252096,113,9.774095139915135,2,10,6,009301
1291,331.26164109201403,113,5.01436940411051,4,10,6,009604
1292,296.15096787683797,113,7.527238036910834,4,10,6,009610
1293,297.74255481261696,113,7.037623759961692,4,10,6,009611
1294,240.96074577963222,113,6.161421659840139,3,10,6,010000
1295,217.5479943724269,113,6.246821667007977,3,10,6,010102
1296,155.3505855750019,113,1.6723075863698182,2,3,6,000201
1297,229.4067414816615,113,4.60943515820545,3,5,6,000401
1298,237.74046362186465,113,3.663341850349892,3,5,6,000601
1299,207.05336850578996,113,2.489470860400116,3,3,6,000702
1300,193.7890599819342,113,2.920124315845598,3,3,6,000900
1301,162.70031300932862,113,4.057436684243093,2,5,6,001204
1302,164.20394643532563,113,3.496953902822121,2,5,6,001301
1303,172.434958034714,113,3.281576531037811,2,5,6,001400
1304,203.71150739296823,113,4.592675055500702,3,5,6,001704
1305,231.6873795281065,113,8.668055601980898,3,10,6,010500
1306,163.50601276130556,113,7.884300013279291,2,10,6,011500
1307,136.28868119691168,113,9.40779937682854,2,10,6,012000
1308,133.092747541579,113,8.616426031810386,2,10,6,012100
1309,144.3347191358895,113,4.680347846182416,2,5,6,012208
1310,127.94640200660615,113,5.901021633504582,2,10,6,012211
1311,110.50866269576755,113,5.229246392744426,2,10,6,012400
1312,91.84700600704036,113,5.618631392983871,2,10,6,012701
1313,89.58567856285441,113,4.703147772231927,1,5,6,012800
